ID,Start time,Completion time,Language,Universidad,Grado,Curso,Edad,Sexo,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,RNPQ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,HC_PAIRS
4,2/7/24 17:51:14,2/7/24 17:53:55,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,0,0,1,1,1,0,1,1,0,1,1,1,8,7,1,1,1,4,2,2,1,5,5,2,1,6,3,4,45
5,2/7/24 17:50:52,2/7/24 17:57:01,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Hombre,0,0,1,1,1,0,1,1,0,1,1,1,8,6,2,2,5,2,3,4,3,3,5,1,1,2,6,3,42
6,2/7/24 17:58:15,2/7/24 18:02:12,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,0,0,1,0,0,1,1,1,1,0,1,0,6,1,5,5,7,2,1,1,6,4,7,1,1,7,3,2,67
7,2/7/24 18:41:39,2/7/24 18:47:28,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Hombre,1,0,1,1,1,1,1,1,1,1,1,0,10,7,4,1,4,2,1,4,3,1,4,1,1,4,5,1,41
8,2/7/24 20:50:29,2/7/24 20:55:18,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,1,0,1,0,0,0,1,1,1,1,1,1,8,3,2,3,3,4,3,5,3,6,6,4,1,5,4,2,58
9,2/7/24 20:57:53,2/7/24 21:03:51,es,Universidad de Alcalá,Fisioterapia,Último curso,26,Mujer,1,0,1,1,1,0,1,1,1,1,1,1,10,5,1,5,2,3,5,3,1,5,6,1,1,7,3,1,47
10,2/7/24 21:25:03,2/7/24 21:35:52,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Hombre,0,0,1,1,1,0,0,1,1,1,1,0,7,4,4,6,1,1,1,5,7,7,6,2,1,5,5,1,60
11,2/8/24 0:27:53,2/8/24 0:31:57,es,Universidad de Alcalá,Fisioterapia,Último curso,22,Mujer,0,0,1,1,1,0,1,1,1,1,1,0,8,5,6,4,3,4,3,4,5,5,2,2,3,7,6,2,57
12,2/7/24 22:23:29,2/8/24 9:39:51,es,Universidad de Alcalá,Fisioterapia,Último curso,24,Mujer,0,0,1,1,1,1,1,1,1,1,0,1,9,1,3,4,5,3,2,5,1,5,6,1,1,6,2,5,64
13,2/8/24 15:24:06,2/8/24 15:32:03,es,Universidad de Alcalá,Fisioterapia,Último curso,24,Mujer,0,0,1,1,0,1,1,1,1,1,1,1,9,5,1,1,4,4,2,4,1,2,7,2,1,7,5,1,47
14,2/8/24 18:48:12,2/8/24 19:04:55,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Hombre,1,0,1,0,1,0,1,1,0,0,0,1,6,1,6,2,4,1,2,6,6,7,6,1,2,4,4,2,64
15,2/8/24 19:13:24,2/8/24 19:19:43,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,0,0,1,1,1,0,1,1,0,1,1,0,7,7,5,2,3,3,4,4,5,6,5,1,2,5,4,3,53
16,2/8/24 22:34:18,2/8/24 22:39:35,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,0,0,1,1,0,0,1,1,1,0,1,1,7,5,3,2,6,6,5,6,6,3,6,5,3,5,6,6,65
17,2/10/24 17:47:23,2/10/24 17:52:34,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,18,Hombre,0,0,1,1,1,0,0,1,0,0,0,1,5,5,5,3,6,1,3,2,4,5,5,1,1,5,5,5,18
18,2/10/24 17:50:50,2/10/24 17:58:07,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,35,Mujer,0,0,1,1,1,0,0,1,0,0,1,0,5,4,5,3,3,6,2,5,2,2,6,5,2,4,5,3,17
19,2/10/24 17:57:43,2/10/24 18:04:41,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,19,Mujer,0,0,1,1,1,0,1,1,0,1,1,1,8,2,6,5,6,4,6,5,5,6,6,5,5,4,4,4,24
20,2/10/24 18:14:39,2/10/24 18:19:45,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,24,Mujer,0,0,1,0,0,0,1,1,0,1,1,1,6,1,4,5,7,2,1,1,5,6,7,5,3,4,1,5,44
21,2/10/24 19:17:13,2/10/24 19:20:39,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,31,Mujer,0,0,1,1,1,1,1,1,0,1,1,1,9,1,7,2,1,7,2,1,1,7,7,4,6,7,2,2,61
22,2/10/24 19:17:55,2/10/24 19:24:50,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,20,Mujer,0,0,1,1,1,0,1,1,1,1,1,0,8,2,7,4,4,3,2,5,6,7,6,3,3,6,5,4,41
