ID,Start time,Completion time,Language,University,Degree,Course,Age,Gender,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,RNPQ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,HC_PAIRS
4,2/7/24 17:51:14,2/7/24 17:53:55,es,Universidad de Alcalá,physiotherapy,last,21,f,0,0,1,1,1,0,1,1,0,1,1,1,8,7,1,1,1,4,2,2,1,5,5,2,1,6,3,4,45
5,2/7/24 17:50:52,2/7/24 17:57:01,es,Universidad de Alcalá,physiotherapy,last,21,m,0,0,1,1,1,0,1,1,0,1,1,1,8,6,2,2,5,2,3,4,3,3,5,1,1,2,6,3,40
6,2/7/24 17:58:15,2/7/24 18:02:12,es,Universidad de Alcalá,physiotherapy,last,21,f,0,0,1,0,0,1,1,1,1,0,1,0,6,1,5,5,7,2,1,1,6,4,7,1,1,7,3,2,67
7,2/7/24 18:41:39,2/7/24 18:47:28,es,Universidad de Alcalá,physiotherapy,last,21,m,1,0,1,1,1,1,1,1,1,1,1,0,10,7,4,1,4,2,1,4,3,1,4,1,1,4,5,1,35
8,2/7/24 20:50:29,2/7/24 20:55:18,es,Universidad de Alcalá,physiotherapy,last,21,f,1,0,1,0,0,0,1,1,1,1,1,1,8,3,2,3,3,4,3,5,3,6,6,4,1,5,4,2,54
9,2/7/24 20:57:53,2/7/24 21:03:51,es,Universidad de Alcalá,physiotherapy,last,26,f,1,0,1,1,1,0,1,1,1,1,1,1,10,5,1,5,2,3,5,3,1,5,6,1,1,7,3,1,51
10,2/7/24 21:25:03,2/7/24 21:35:52,es,Universidad de Alcalá,physiotherapy,last,21,m,0,0,1,1,1,0,0,1,1,1,1,0,7,4,4,6,1,1,1,5,7,7,6,2,1,5,5,1,52
11,2/8/24 0:27:53,2/8/24 0:31:57,es,Universidad de Alcalá,physiotherapy,last,22,f,0,0,1,1,1,0,1,1,1,1,1,0,8,5,6,4,3,4,3,4,5,5,2,2,3,7,6,2,55
12,2/7/24 22:23:29,2/8/24 9:39:51,es,Universidad de Alcalá,physiotherapy,last,24,f,0,0,1,1,1,1,1,1,1,1,0,1,9,1,3,4,5,3,2,5,1,5,6,1,1,6,2,5,58
13,2/8/24 15:24:06,2/8/24 15:32:03,es,Universidad de Alcalá,physiotherapy,last,24,f,0,0,1,1,0,1,1,1,1,1,1,1,9,5,1,1,4,4,2,4,1,2,7,2,1,7,5,1,43
14,2/8/24 18:48:12,2/8/24 19:04:55,es,Universidad de Alcalá,physiotherapy,last,21,m,1,0,1,0,1,0,1,1,0,0,0,1,6,1,6,2,4,1,2,6,6,7,6,1,2,4,4,2,56
15,2/8/24 19:13:24,2/8/24 19:19:43,es,Universidad de Alcalá,physiotherapy,last,21,f,0,0,1,1,1,0,1,1,0,1,1,0,7,7,5,2,3,3,4,4,5,6,5,1,2,5,4,3,53
16,2/8/24 22:34:18,2/8/24 22:39:35,es,Universidad de Alcalá,physiotherapy,last,21,f,0,0,1,1,0,0,1,1,1,0,1,1,7,5,3,2,6,6,5,6,6,3,6,5,3,5,6,6,63
17,2/10/24 17:47:23,2/10/24 17:52:34,es,Universidad CEU Cardenal Herrera,nursing,first,18,m,0,0,1,1,1,0,0,1,0,0,0,1,5,5,5,3,6,1,3,2,4,5,5,1,1,5,5,5,56
18,2/10/24 17:50:50,2/10/24 17:58:07,es,Universidad CEU Cardenal Herrera,nursing,last,35,f,0,0,1,1,1,0,0,1,0,0,1,0,5,4,5,3,3,6,2,5,2,2,6,5,2,4,5,3,53
19,2/10/24 17:57:43,2/10/24 18:04:41,es,Universidad CEU Cardenal Herrera,nursing,first,19,f,0,0,1,1,1,0,1,1,0,1,1,1,8,2,6,5,6,4,6,5,5,6,6,5,5,4,4,4,75
20,2/10/24 18:14:39,2/10/24 18:19:45,es,Universidad CEU Cardenal Herrera,nursing,last,24,f,0,0,1,0,0,0,1,1,0,1,1,1,6,1,4,5,7,2,1,1,5,6,7,5,3,4,1,5,75
21,2/10/24 19:17:13,2/10/24 19:20:39,es,Universidad CEU Cardenal Herrera,nursing,first,31,f,0,0,1,1,1,1,1,1,0,1,1,1,9,1,7,2,1,7,2,1,1,7,7,4,6,7,2,2,73
22,2/10/24 19:17:55,2/10/24 19:24:50,es,Universidad CEU Cardenal Herrera,nursing,first,20,f,0,0,1,1,1,0,1,1,1,1,1,0,8,2,7,4,4,3,2,5,6,7,6,3,3,6,5,4,67
23,2/10/24 19:34:24,2/10/24 19:37:41,es,Universidad CEU Cardenal Herrera,nursing,last,24,f,0,0,1,1,1,0,1,1,0,1,1,0,7,7,7,7,1,6,1,7,4,7,7,7,4,7,4,4,68
24,2/10/24 21:40:54,2/10/24 21:45:57,es,Universidad CEU Cardenal Herrera,nursing,first,19,m,1,0,1,0,1,1,0,1,1,0,1,0,7,7,7,2,5,4,2,4,5,7,7,5,6,7,6,7,71
25,2/10/24 21:56:52,2/10/24 22:00:59,es,Universidad CEU Cardenal Herrera,nursing,first,21,f,0,0,1,1,1,1,0,0,0,1,1,0,6,6,5,3,5,7,4,5,5,3,6,6,3,5,6,3,62
26,2/10/24 22:20:13,2/10/24 22:23:47,es,Universidad CEU Cardenal Herrera,nursing,last,21,f,0,0,1,1,1,0,1,1,0,0,1,0,6,5,7,4,2,6,1,4,5,4,7,5,4,4,3,4,65
27,2/11/24 1:35:23,2/11/24 1:40:38,es,Universidad CEU Cardenal Herrera,nursing,first,40,f,0,0,1,1,1,1,0,0,0,1,1,1,7,7,5,3,7,4,3,6,7,7,7,7,5,7,5,4,72
28,2/11/24 8:45:03,2/11/24 8:49:12,es,Universidad CEU Cardenal Herrera,nursing,last,22,f,0,0,1,0,1,1,0,1,0,1,1,1,7,3,6,7,6,5,4,5,7,6,6,5,5,4,4,5,78
29,2/11/24 10:48:34,2/11/24 10:52:01,es,Universidad CEU Cardenal Herrera,physiotherapy,first,19,m,0,0,1,1,1,1,1,1,0,1,1,0,8,4,5,2,5,7,4,5,6,6,6,4,1,4,1,2,66
30,2/11/24 18:19:51,2/11/24 18:28:56,es,Universidad CEU Cardenal Herrera,nursing,first,28,f,1,0,1,1,1,1,1,1,1,1,1,1,11,6,5,6,6,4,3,4,6,5,3,4,3,3,5,4,61
31,2/11/24 20:48:37,2/11/24 20:56:15,es,Universidad CEU Cardenal Herrera,nursing,first,18,f,1,0,1,1,1,0,1,1,0,1,1,1,9,1,7,7,4,4,1,4,7,7,7,4,7,7,1,7,87
32,2/12/24 6:41:46,2/12/24 6:46:47,es,Universidad CEU Cardenal Herrera,nursing,last,23,m,0,0,1,0,1,1,0,1,1,1,1,0,7,1,6,6,4,5,7,3,7,7,7,4,5,7,7,7,85
33,2/12/24 8:15:07,2/12/24 8:24:18,es,Universidad CEU Cardenal Herrera,nursing,first,19,f,0,0,1,1,1,0,0,0,0,1,1,1,6,4,6,3,6,4,5,4,6,6,4,4,5,6,6,4,69
34,2/12/24 9:31:02,2/12/24 9:36:38,es,Universidad Complutense de Madrid,physiotherapy,first,18,f,0,0,1,1,1,0,0,1,1,1,1,0,7,5,6,5,2,5,2,5,5,7,6,4,1,7,6,1,59
35,2/12/24 9:36:43,2/12/24 9:40:59,es,Universidad Complutense de Madrid,physiotherapy,first,18,m,0,0,1,1,0,0,0,0,0,1,0,0,3,3,4,7,6,3,5,4,6,4,4,1,1,4,4,4,62
36,2/12/24 9:42:46,2/12/24 9:49:12,es,Universidad Complutense de Madrid,physiotherapy,first,18,m,1,0,1,1,1,0,1,1,0,0,1,1,8,5,6,4,6,2,1,2,7,7,4,2,1,6,5,3,61
